language,n,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mae,rmse
English,6,0.724064498746844,0.10370568144041258,0.6957252427829381,0.12478933744028704,0.5520524474738834,0.12597116307723114,0.5992925925925925,0.6831407674939057
Hindi,6,-0.11319540474905437,0.8309320905370312,-0.08571428571428573,0.8717434402332361,-0.06666666666666665,1.0,0.8201129629629628,1.0629800350900291
Kannada,6,0.7231969711573265,0.10432556264801557,0.7944613465542746,0.05902759992532669,0.6445033866354897,0.07945818974316925,0.48561428571428583,0.5729168492813562
Telugu,6,0.2780241930670877,0.5937089912489426,0.14285714285714288,0.7871720116618075,0.06666666666666665,1.0,0.8739212121212122,0.9192384570592329
Pooled (all),24,0.3327121643819472,0.1121553812190031,0.4225658998085641,0.039673943494820604,0.27206066218088715,0.06570831904913525,0.6947352633477634,0.8321419530854214
